rgn_id;sciname;iucn_sid;year;eval_yr;category;;;
6;Alopias vulpinus;39339;2019;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2019;2018;LC;;;
6;Balaenoptera musculus;2477;2019;2018;EN;;;
6;Balaenoptera physalus;2478;2019;2018;VU;;;
6;Caretta caretta;3897;2019;2017;VU;;;
6;Caretta caretta;84156809;2019;2015;CR;;;
6;Cetorhinus maximus;4292;2019;2005;VU;;;
6;Chelonia mydas;4615;2019;2004;EN;;;
6;Dermochelys coriacea;6494;2019;2013;VU;;;
6;Dermochelys coriacea;46967807;2019;2013;CR;;;
6;Eretmochelys imbricata;8005;2019;2008;CR;;;
6;Galeocerdo cuvier;39378;2019;2019;NT;;;
6;Isurus oxyrinchus;39341;2019;2019;EN;;;
6;Isurus oxyrinchus;161751;2019;2019;VU;;;
6;Lepidochelys olivacea;11534;2019;2008;VU;;;
6;Megachasma pelagios;39338;2019;2019;LC;;;
6;Megaptera novaeangliae;13006;2019;2018;LC;;;
6;Prionace glauca;39381;2019;2009;NT;;;
6;Rhincodon typus;19488;2019;2016;EN;;;
6;Steno bredanensis;20738;2019;2012;LC;;;
6;Alopias vulpinus;39339;2018;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2018;2018;LC;;;
6;Balaenoptera musculus;2477;2018;2018;EN;;;
6;Balaenoptera physalus;2478;2018;2018;VU;;;
6;Caretta caretta;3897;2018;2017;VU;;;
6;Caretta caretta;84156809;2018;2015;CR;;;
6;Cetorhinus maximus;4292;2018;2005;VU;;;
6;Chelonia mydas;4615;2018;2004;EN;;;
6;Dermochelys coriacea;6494;2018;2013;VU;;;
6;Dermochelys coriacea;46967807;2018;2013;CR;;;
6;Eretmochelys imbricata;8005;2018;2008;CR;;;
6;Galeocerdo cuvier;39378;2018;2009;NT;;;
6;Isurus oxyrinchus;39341;2018;2009;VU;;;
6;Isurus oxyrinchus;161751;2018;2009;NT;;;
6;Lepidochelys olivacea;11534;2018;2008;VU;;;
6;Megachasma pelagios;39338;2018;2015;LC;;;
6;Megaptera novaeangliae;13006;2018;2018;LC;;;
6;Prionace glauca;39381;2018;2009;NT;;;
6;Rhincodon typus;19488;2018;2016;EN;;;
6;Steno bredanensis;20738;2018;2012;LC;;;
6;Alopias vulpinus;39339;2017;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2017;2008;LC;;;
6;Balaenoptera musculus;2477;2017;2008;EN;;;
6;Balaenoptera physalus;2478;2017;2013;EN;;;
6;Caretta caretta;3897;2017;2017;VU;;;
6;Caretta caretta;84156809;2017;2017;CR;;;
6;Cetorhinus maximus;4292;2017;2005;VU;;;
6;Chelonia mydas;4615;2017;2004;EN;;;
6;Dermochelys coriacea;6494;2017;2013;VU;;;
6;Dermochelys coriacea;46967807;2017;2013;CR;;;
6;Eretmochelys imbricata;8005;2017;2008;CR;;;
6;Galeocerdo cuvier;39378;2017;2009;NT;;;
6;Isurus oxyrinchus;39341;2017;2009;VU;;;
6;Isurus oxyrinchus;161751;2017;2009;NT;;;
6;Lepidochelys olivacea;11534;2017;2008;VU;;;
6;Megachasma pelagios;39338;2017;2015;LC;;;
6;Megaptera novaeangliae;13006;2017;2008;LC;;;
6;Prionace glauca;39381;2017;2009;NT;;;
6;Rhincodon typus;19488;2017;2016;EN;;;
6;Steno bredanensis;20738;2017;2012;LC;;;
6;Alopias vulpinus;39339;2016;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2016;2008;LC;;;
6;Balaenoptera musculus;2477;2016;2008;EN;;;
6;Balaenoptera physalus;2478;2016;2013;EN;;;
6;Caretta caretta;3897;2016;2015;VU;;;
6;Caretta caretta;84156809;2016;2015;CR;;;
6;Cetorhinus maximus;4292;2016;2005;VU;;;
6;Chelonia mydas;4615;2016;2004;EN;;;
6;Dermochelys coriacea;6494;2016;2013;VU;;;
6;Dermochelys coriacea;46967807;2016;2013;CR;;;
6;Eretmochelys imbricata;8005;2016;2008;CR;;;
6;Galeocerdo cuvier;39378;2016;2009;NT;;;
6;Isurus oxyrinchus;39341;2016;2009;VU;;;
6;Isurus oxyrinchus;161751;2016;2009;NT;;;
6;Lepidochelys olivacea;11534;2016;2008;VU;;;
6;Megachasma pelagios;39338;2016;2015;LC;;;
6;Megaptera novaeangliae;13006;2016;2008;LC;;;
6;Prionace glauca;39381;2016;2009;NT;;;
6;Rhincodon typus;19488;2016;2016;EN;;;
6;Steno bredanensis;20738;2016;2012;LC;;;
6;Alopias vulpinus;39339;2015;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2015;2008;LC;;;
6;Balaenoptera musculus;2477;2015;2008;EN;;;
6;Balaenoptera physalus;2478;2015;2013;EN;;;
6;Caretta caretta;3897;2015;2015;VU;;;
6;Caretta caretta;84156809;2015;2015;CR;;;
6;Cetorhinus maximus;4292;2015;2005;VU;;;
6;Chelonia mydas;4615;2015;2004;EN;;;
6;Dermochelys coriacea;6494;2015;2013;VU;;;
6;Dermochelys coriacea;46967807;2015;2013;CR;;;
6;Eretmochelys imbricata;8005;2015;2008;CR;;;
6;Galeocerdo cuvier;39378;2015;2009;NT;;;
6;Isurus oxyrinchus;39341;2015;2009;VU;;;
6;Isurus oxyrinchus;161751;2015;2009;NT;;;
6;Lepidochelys olivacea;11534;2015;2008;VU;;;
6;Megachasma pelagios;39338;2015;2015;LC;;;
6;Megaptera novaeangliae;13006;2015;2008;LC;;;
6;Prionace glauca;39381;2015;2009;NT;;;
6;Rhincodon typus;19488;2015;2005;VU;;;
6;Steno bredanensis;20738;2015;2012;LC;;;
6;Alopias vulpinus;39339;2014;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2014;2008;LC;;;
6;Balaenoptera musculus;2477;2014;2008;EN;;;
6;Balaenoptera physalus;2478;2014;2013;EN;;;
6;Caretta caretta;3897;2014;1996;EN;;;
6;Caretta caretta;84156809;2014;;;;;
6;Cetorhinus maximus;4292;2014;2005;VU;;;
6;Chelonia mydas;4615;2014;2004;EN;;;
6;Dermochelys coriacea;6494;2014;2013;VU;;;
6;Dermochelys coriacea;46967807;2014;2013;CR;;;
6;Eretmochelys imbricata;8005;2014;2008;CR;;;
6;Galeocerdo cuvier;39378;2014;2009;NT;;;
6;Isurus oxyrinchus;39341;2014;2009;VU;;;
6;Isurus oxyrinchus;161751;2014;2009;NT;;;
6;Lepidochelys olivacea;11534;2014;2008;VU;;;
6;Megachasma pelagios;39338;2014;2005;DD;;;
6;Megaptera novaeangliae;13006;2014;2008;LC;;;
6;Prionace glauca;39381;2014;2009;NT;;;
6;Rhincodon typus;19488;2014;2005;VU;;;
6;Steno bredanensis;20738;2014;2012;LC;;;
6;Alopias vulpinus;39339;2013;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2013;2008;LC;;;
6;Balaenoptera musculus;2477;2013;2008;EN;;;
6;Balaenoptera physalus;2478;2013;2013;EN;;;
6;Caretta caretta;3897;2013;1996;EN;;;
6;Caretta caretta;84156809;2013;;;;;
6;Cetorhinus maximus;4292;2013;2005;VU;;;
6;Chelonia mydas;4615;2013;2004;EN;;;
6;Dermochelys coriacea;6494;2013;2013;VU;;;
6;Dermochelys coriacea;46967807;2013;2013;CR;;;
6;Eretmochelys imbricata;8005;2013;2008;CR;;;
6;Galeocerdo cuvier;39378;2013;2009;NT;;;
6;Isurus oxyrinchus;39341;2013;2009;VU;;;
6;Isurus oxyrinchus;161751;2013;2009;NT;;;
6;Lepidochelys olivacea;11534;2013;2008;VU;;;
6;Megachasma pelagios;39338;2013;2005;DD;;;
6;Megaptera novaeangliae;13006;2013;2008;LC;;;
6;Prionace glauca;39381;2013;2009;NT;;;
6;Rhincodon typus;19488;2013;2005;VU;;;
6;Steno bredanensis;20738;2013;2012;LC;;;
6;Alopias vulpinus;39339;2012;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2012;2008;LC;;;
6;Balaenoptera musculus;2477;2012;2008;EN;;;
6;Balaenoptera physalus;2478;2012;2008;EN;;;
6;Caretta caretta;3897;2012;1996;EN;;;
6;Caretta caretta;84156809;2012;;;;;
6;Cetorhinus maximus;4292;2012;2005;VU;;;
6;Chelonia mydas;4615;2012;2004;EN;;;
6;Dermochelys coriacea;6494;2012;2000;CR;;;
6;Dermochelys coriacea;46967807;2012;;;;;
6;Eretmochelys imbricata;8005;2012;2008;CR;;;
6;Galeocerdo cuvier;39378;2012;2009;NT;;;
6;Isurus oxyrinchus;39341;2012;2009;VU;;;
6;Isurus oxyrinchus;161751;2012;2009;NT;;;
6;Lepidochelys olivacea;11534;2012;2008;VU;;;
6;Megachasma pelagios;39338;2012;2005;DD;;;
6;Megaptera novaeangliae;13006;2012;2008;LC;;;
6;Prionace glauca;39381;2012;2009;NT;;;
6;Rhincodon typus;19488;2012;2005;VU;;;
6;Steno bredanensis;20738;2012;2012;LC;;;
6;Alopias vulpinus;39339;2011;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2011;2008;LC;;;
6;Balaenoptera musculus;2477;2011;2008;EN;;;
6;Balaenoptera physalus;2478;2011;2008;EN;;;
6;Caretta caretta;3897;2011;1996;EN;;;
6;Caretta caretta;84156809;2011;;;;;
6;Cetorhinus maximus;4292;2011;2005;VU;;;
6;Chelonia mydas;4615;2011;2004;EN;;;
6;Dermochelys coriacea;6494;2011;2000;CR;;;
6;Dermochelys coriacea;46967807;2011;;;;;
6;Eretmochelys imbricata;8005;2011;2008;CR;;;
6;Galeocerdo cuvier;39378;2011;2009;NT;;;
6;Isurus oxyrinchus;39341;2011;2009;VU;;;
6;Isurus oxyrinchus;161751;2011;2009;NT;;;
6;Lepidochelys olivacea;11534;2011;2008;VU;;;
6;Megachasma pelagios;39338;2011;2005;DD;;;
6;Megaptera novaeangliae;13006;2011;2008;LC;;;
6;Prionace glauca;39381;2011;2009;NT;;;
6;Rhincodon typus;19488;2011;2005;VU;;;
6;Steno bredanensis;20738;2011;2008;LC;;;
6;Alopias vulpinus;39339;2010;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2010;2008;LC;;;
6;Balaenoptera musculus;2477;2010;2008;EN;;;
6;Balaenoptera physalus;2478;2010;2008;EN;;;
6;Caretta caretta;3897;2010;1996;EN;;;
6;Caretta caretta;84156809;2010;;;;;
6;Cetorhinus maximus;4292;2010;2005;VU;;;
6;Chelonia mydas;4615;2010;2004;EN;;;
6;Dermochelys coriacea;6494;2010;2000;CR;;;
6;Dermochelys coriacea;46967807;2010;;;;;
6;Eretmochelys imbricata;8005;2010;2008;CR;;;
6;Galeocerdo cuvier;39378;2010;2009;NT;;;
6;Isurus oxyrinchus;39341;2010;2009;VU;;;
6;Isurus oxyrinchus;161751;2010;2009;NT;;;
6;Lepidochelys olivacea;11534;2010;2008;VU;;;
6;Megachasma pelagios;39338;2010;2005;DD;;;
6;Megaptera novaeangliae;13006;2010;2008;LC;;;
6;Prionace glauca;39381;2010;2009;NT;;;
6;Rhincodon typus;19488;2010;2005;VU;;;
6;Steno bredanensis;20738;2010;2008;LC;;;
6;Alopias vulpinus;39339;2009;2009;VU;;;
6;Balaenoptera acutorostrata;2474;2009;2008;LC;;;
6;Balaenoptera musculus;2477;2009;2008;EN;;;
6;Balaenoptera physalus;2478;2009;2008;EN;;;
6;Caretta caretta;3897;2009;1996;EN;;;
6;Caretta caretta;84156809;2009;;;;;
6;Cetorhinus maximus;4292;2009;2005;VU;;;
6;Chelonia mydas;4615;2009;2004;EN;;;
6;Dermochelys coriacea;6494;2009;2000;CR;;;
6;Dermochelys coriacea;46967807;2009;;;;;
6;Eretmochelys imbricata;8005;2009;2008;CR;;;
6;Galeocerdo cuvier;39378;2009;2009;NT;;;
6;Isurus oxyrinchus;39341;2009;2009;VU;;;
6;Isurus oxyrinchus;161751;2009;2009;NT;;;
6;Lepidochelys olivacea;11534;2009;2008;VU;;;
6;Megachasma pelagios;39338;2009;2005;DD;;;
6;Megaptera novaeangliae;13006;2009;2008;LC;;;
6;Prionace glauca;39381;2009;2009;NT;;;
6;Rhincodon typus;19488;2009;2005;VU;;;
6;Steno bredanensis;20738;2009;2008;LC;;;
6;Alopias vulpinus;39339;2008;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2008;2008;LC;;;
6;Balaenoptera musculus;2477;2008;2008;EN;;;
6;Balaenoptera physalus;2478;2008;2008;EN;;;
6;Caretta caretta;3897;2008;1996;EN;;;
6;Caretta caretta;84156809;2008;;;;;
6;Cetorhinus maximus;4292;2008;2005;VU;;;
6;Chelonia mydas;4615;2008;2004;EN;;;
6;Dermochelys coriacea;6494;2008;2000;CR;;;
6;Dermochelys coriacea;46967807;2008;;;;;
6;Eretmochelys imbricata;8005;2008;2008;CR;;;
6;Galeocerdo cuvier;39378;2008;2000;NT;;;
6;Isurus oxyrinchus;39341;2008;2000;NT;;;
6;Isurus oxyrinchus;161751;2008;;;;;
6;Lepidochelys olivacea;11534;2008;2008;VU;;;
6;Megachasma pelagios;39338;2008;2005;DD;;;
6;Megaptera novaeangliae;13006;2008;2008;LC;;;
6;Prionace glauca;39381;2008;2000;NT;;;
6;Rhincodon typus;19488;2008;2005;VU;;;
6;Steno bredanensis;20738;2008;2008;LC;;;
6;Alopias vulpinus;39339;2007;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2007;1996;NT;;;
6;Balaenoptera musculus;2477;2007;1996;EN;;;
6;Balaenoptera physalus;2478;2007;1996;EN;;;
6;Caretta caretta;3897;2007;1996;EN;;;
6;Caretta caretta;84156809;2007;;;;;
6;Cetorhinus maximus;4292;2007;2005;VU;;;
6;Chelonia mydas;4615;2007;2004;EN;;;
6;Dermochelys coriacea;6494;2007;2000;CR;;;
6;Dermochelys coriacea;46967807;2007;;;;;
6;Eretmochelys imbricata;8005;2007;1996;CR;;;
6;Galeocerdo cuvier;39378;2007;2000;NT;;;
6;Isurus oxyrinchus;39341;2007;2000;NT;;;
6;Isurus oxyrinchus;161751;2007;;;;;
6;Lepidochelys olivacea;11534;2007;1996;EN;;;
6;Megachasma pelagios;39338;2007;2005;DD;;;
6;Megaptera novaeangliae;13006;2007;1996;VU;;;
6;Prionace glauca;39381;2007;2000;NT;;;
6;Rhincodon typus;19488;2007;2005;VU;;;
6;Steno bredanensis;20738;2007;1996;DD;;;
6;Alopias vulpinus;39339;2006;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2006;1996;NT;;;
6;Balaenoptera musculus;2477;2006;1996;EN;;;
6;Balaenoptera physalus;2478;2006;1996;EN;;;
6;Caretta caretta;3897;2006;1996;EN;;;
6;Caretta caretta;84156809;2006;;;;;
6;Cetorhinus maximus;4292;2006;2005;VU;;;
6;Chelonia mydas;4615;2006;2004;EN;;;
6;Dermochelys coriacea;6494;2006;2000;CR;;;
6;Dermochelys coriacea;46967807;2006;;;;;
6;Eretmochelys imbricata;8005;2006;1996;CR;;;
6;Galeocerdo cuvier;39378;2006;2000;NT;;;
6;Isurus oxyrinchus;39341;2006;2000;NT;;;
6;Isurus oxyrinchus;161751;2006;;;;;
6;Lepidochelys olivacea;11534;2006;1996;EN;;;
6;Megachasma pelagios;39338;2006;2005;DD;;;
6;Megaptera novaeangliae;13006;2006;1996;VU;;;
6;Prionace glauca;39381;2006;2000;NT;;;
6;Rhincodon typus;19488;2006;2005;VU;;;
6;Steno bredanensis;20738;2006;1996;DD;;;
6;Alopias vulpinus;39339;2005;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2005;1996;NT;;;
6;Balaenoptera musculus;2477;2005;1996;EN;;;
6;Balaenoptera physalus;2478;2005;1996;EN;;;
6;Caretta caretta;3897;2005;1996;EN;;;
6;Caretta caretta;84156809;2005;;;;;
6;Cetorhinus maximus;4292;2005;2005;VU;;;
6;Chelonia mydas;4615;2005;2004;EN;;;
6;Dermochelys coriacea;6494;2005;2000;CR;;;
6;Dermochelys coriacea;46967807;2005;;;;;
6;Eretmochelys imbricata;8005;2005;1996;CR;;;
6;Galeocerdo cuvier;39378;2005;2000;NT;;;
6;Isurus oxyrinchus;39341;2005;2000;NT;;;
6;Isurus oxyrinchus;161751;2005;;;;;
6;Lepidochelys olivacea;11534;2005;1996;EN;;;
6;Megachasma pelagios;39338;2005;2005;DD;;;
6;Megaptera novaeangliae;13006;2005;1996;VU;;;
6;Prionace glauca;39381;2005;2000;NT;;;
6;Rhincodon typus;19488;2005;2005;VU;;;
6;Steno bredanensis;20738;2005;1996;DD;;;
6;Alopias vulpinus;39339;2004;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2004;1996;NT;;;
6;Balaenoptera musculus;2477;2004;1996;EN;;;
6;Balaenoptera physalus;2478;2004;1996;EN;;;
6;Caretta caretta;3897;2004;1996;EN;;;
6;Caretta caretta;84156809;2004;;;;;
6;Cetorhinus maximus;4292;2004;2000;VU;;;
6;Chelonia mydas;4615;2004;2004;EN;;;
6;Dermochelys coriacea;6494;2004;2000;CR;;;
6;Dermochelys coriacea;46967807;2004;;;;;
6;Eretmochelys imbricata;8005;2004;1996;CR;;;
6;Galeocerdo cuvier;39378;2004;2000;NT;;;
6;Isurus oxyrinchus;39341;2004;2000;NT;;;
6;Isurus oxyrinchus;161751;2004;;;;;
6;Lepidochelys olivacea;11534;2004;1996;EN;;;
6;Megachasma pelagios;39338;2004;2000;DD;;;
6;Megaptera novaeangliae;13006;2004;1996;VU;;;
6;Prionace glauca;39381;2004;2000;NT;;;
6;Rhincodon typus;19488;2004;2000;VU;;;
6;Steno bredanensis;20738;2004;1996;DD;;;
6;Alopias vulpinus;39339;2003;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2003;1996;NT;;;
6;Balaenoptera musculus;2477;2003;1996;EN;;;
6;Balaenoptera physalus;2478;2003;1996;EN;;;
6;Caretta caretta;3897;2003;1996;EN;;;
6;Caretta caretta;84156809;2003;;;;;
6;Cetorhinus maximus;4292;2003;2000;VU;;;
6;Chelonia mydas;4615;2003;1996;EN;;;
6;Dermochelys coriacea;6494;2003;2000;CR;;;
6;Dermochelys coriacea;46967807;2003;;;;;
6;Eretmochelys imbricata;8005;2003;1996;CR;;;
6;Galeocerdo cuvier;39378;2003;2000;NT;;;
6;Isurus oxyrinchus;39341;2003;2000;NT;;;
6;Isurus oxyrinchus;161751;2003;;;;;
6;Lepidochelys olivacea;11534;2003;1996;EN;;;
6;Megachasma pelagios;39338;2003;2000;DD;;;
6;Megaptera novaeangliae;13006;2003;1996;VU;;;
6;Prionace glauca;39381;2003;2000;NT;;;
6;Rhincodon typus;19488;2003;2000;VU;;;
6;Steno bredanensis;20738;2003;1996;DD;;;
6;Alopias vulpinus;39339;2002;2002;DD;;;
6;Balaenoptera acutorostrata;2474;2002;1996;NT;;;
6;Balaenoptera musculus;2477;2002;1996;EN;;;
6;Balaenoptera physalus;2478;2002;1996;EN;;;
6;Caretta caretta;3897;2002;1996;EN;;;
6;Caretta caretta;84156809;2002;;;;;
6;Cetorhinus maximus;4292;2002;2000;VU;;;
6;Chelonia mydas;4615;2002;1996;EN;;;
6;Dermochelys coriacea;6494;2002;2000;CR;;;
6;Dermochelys coriacea;46967807;2002;;;;;
6;Eretmochelys imbricata;8005;2002;1996;CR;;;
6;Galeocerdo cuvier;39378;2002;2000;NT;;;
6;Isurus oxyrinchus;39341;2002;2000;NT;;;
6;Isurus oxyrinchus;161751;2002;;;;;
6;Lepidochelys olivacea;11534;2002;1996;EN;;;
6;Megachasma pelagios;39338;2002;2000;DD;;;
6;Megaptera novaeangliae;13006;2002;1996;VU;;;
6;Prionace glauca;39381;2002;2000;NT;;;
6;Rhincodon typus;19488;2002;2000;VU;;;
6;Steno bredanensis;20738;2002;1996;DD;;;
6;Alopias vulpinus;39339;2001;2000;DD;;;
6;Balaenoptera acutorostrata;2474;2001;1996;NT;;;
6;Balaenoptera musculus;2477;2001;1996;EN;;;
6;Balaenoptera physalus;2478;2001;1996;EN;;;
6;Caretta caretta;3897;2001;1996;EN;;;
6;Caretta caretta;84156809;2001;;;;;
6;Cetorhinus maximus;4292;2001;2000;VU;;;
6;Chelonia mydas;4615;2001;1996;EN;;;
6;Dermochelys coriacea;6494;2001;2000;CR;;;
6;Dermochelys coriacea;46967807;2001;;;;;
6;Eretmochelys imbricata;8005;2001;1996;CR;;;
